Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
What are signs of uncontrolled diabetes?,English,diagnosis_inquiry_for_diabetes,"Signs include blurred vision, slow-healing wounds, and excessive thirst.",Slow-healing wounds,diabetes,Monitor your blood sugar levels and consult an endocrinologist if symptoms persist.,45.0,Female,diabetes
මට මනෝවිද්‍යා ආතතිය පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,recommendation,"මනෝවිද්‍යා ආතතිය පාලනය සඳහා ධ්‍යානය, සෙරීස් සහ හුස්ම වැඩි ක්‍රම භාවිතා කරන්න.",Fatigue,general,Maintain a consistent sleep routine and practice mindfulness daily.,38.0,Female,general
How can I prevent hypertension?,English,recommendation_for_hypertension,"Maintain a healthy weight, limit alcohol intake, and avoid tobacco use.",Headache,hypertension,Include physical activity like walking or jogging for at least 30 minutes daily.,42.0,Male,hypertension
මට සීනි මනාලනය කරන ආහාර වේලක් අවශ්‍යයි.,Sinhala,food_advice_for_diabetes,"සීනි මනාලනය සඳහා, ව්‍යායාම සහ සීනි අඩු ආහාර වේලක් අනුගමනය කරන්න.",Frequent urination,diabetes,Replace sugary beverages with water or herbal teas.,50.0,Male,diabetes
How can I manage my blood sugar levels?,English,recommendation_for_diabetes,"Monitor your blood sugar regularly, follow a balanced diet, and exercise regularly to maintain healthy glucose levels.",Fatigue,diabetes,Avoid sugary foods and drink water to help control blood sugar levels.,55.0,Female,diabetes
What are the symptoms of hypertension?,English,information_request_for_hypertension,"Common symptoms include headache, dizziness, and blurred vision.",Headache,hypertension,Monitor blood pressure regularly and follow a low-sodium diet to control hypertension.,45.0,Male,hypertension
මට පීඩනය පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,recommendation_for_hypertension,පීඩනය පාලනය සඳහා නිතර ව්‍යායාම කරන්න සහ අඩු සීනි ආහාර භාවිතා කරන්න.,Chest discomfort,hypertension,Include fruits like bananas to reduce sodium intake and regulate blood pressure.,60.0,Male,hypertension
How can I reduce my cholesterol naturally?,English,recommendation_for_hypertension,"Consume foods rich in omega-3 fatty acids, such as fish, and reduce saturated fats in your diet to lower cholesterol levels.",Chest discomfort,hypertension,Include more fiber-rich foods like oats and flaxseeds to naturally lower cholesterol.,50.0,Female,hypertension
How can I avoid complications from diabetes?,English,recommendation_for_diabetes,"Regular monitoring of blood sugar levels, following a low-carb diet, and engaging in regular physical activity.",Frequent urination,diabetes,"Consume whole grains, leafy greens, and lean proteins to prevent complications.",40.0,Male,diabetes
මට පීඩනය පාලනය සඳහා මනෝපදේශ ලබාදෙන්න.,Sinhala,recommendation_for_hypertension,පීඩනය පාලනය සඳහා මනෝපදේශ සහ පෝෂ්‍යමය ආහාර භාවිතා කරන්න.,Stress,hypertension,Practice yoga or meditation to reduce stress levels and avoid processed foods.,45.0,Female,hypertension
What foods are good for managing high blood pressure?,English,recommendation_for_hypertension,"Foods such as leafy greens, bananas, and fish rich in omega-3 fatty acids help control blood pressure.",Headache,hypertension,Eat potassium-rich foods like sweet potatoes and avocados to support blood pressure control.,50.0,Male,hypertension
How can I improve my heart health?,English,recommendation_for_hypertension,"Engage in cardiovascular exercises, avoid smoking, and eat a heart-healthy diet rich in fiber and healthy fats.",Chest discomfort,heart_disease,Include heart-healthy fats like olive oil and nuts in your diet.,60.0,Female,hypertension
What are the signs of diabetic neuropathy?,English,diagnosis_inquiry_for_diabetes,"Numbness, tingling, and pain in the feet and hands are signs of diabetic neuropathy.",Numbness,diabetes,Control blood sugar levels and consider regular foot exams to manage diabetic neuropathy.,60.0,Male,diabetes
How can I naturally lower blood sugar levels?,English,recommendation_for_diabetes,"Eat a high-fiber diet, avoid refined sugars, and engage in regular physical activity to lower blood sugar.",Frequent urination,diabetes,Drink more water to help lower glucose levels and focus on low glycemic index foods.,50.0,Female,diabetes
මට ජීව විද්‍යා මට්ටම වැඩි කරගන්න ආහාර ද්‍රව්‍ය මොනවාද?,Sinhala,food_advice,"ජීව විද්‍යා මට්ටම වැඩි කරගන්න, පලා මත්, පුරුෂ මස් සහ විටමින් C සහ E අඩංගු ආහාර භාවිතා කරන්න.",Fatigue,general,Consume foods rich in antioxidants like berries and citrus fruits for improved energy levels.,40.0,Male,general
How do I manage stress effectively?,English,recommendation,"Practice mindfulness, engage in physical activity, and establish a work-life balance to manage stress effectively.",Stress,stress,Try breathing exercises and incorporate relaxation techniques into your daily routine.,45.0,Female,general
What are some tips for managing type 2 diabetes?,English,recommendation_for_diabetes,"Follow a healthy diet, exercise regularly, and take medications as prescribed to manage type 2 diabetes.",Frequent urination,diabetes,"Limit processed foods and sugars, focusing on whole foods like vegetables and nuts.",55.0,Male,diabetes
What foods should I avoid for high blood pressure?,English,food_advice_for_hypertension,"Avoid foods high in sodium, processed meats, and high-sugar snacks to help reduce blood pressure.",Headache,hypertension,Limit intake of salty snacks and include more fresh vegetables in your diet.,50.0,Female,hypertension
How can I reduce my risk of heart disease?,English,recommendation_for_hypertension,"Maintain a healthy weight, eat a diet rich in fruits and vegetables, and avoid smoking and excessive alcohol.",Chest discomfort,heart_disease,"Engage in regular exercise, and reduce intake of unhealthy fats.",45.0,Male,hypertension
What are the best exercises for diabetes?,English,recommendation_for_diabetes,"Focus on aerobic exercises like walking, cycling, or swimming to help manage diabetes and maintain a healthy weight.",Fatigue,diabetes,Combine aerobic exercises with strength training for better blood sugar control.,55.0,Female,diabetes
How can I improve my blood circulation?,English,recommendation,"Regular exercise, avoiding smoking, and eating a diet rich in antioxidants can help improve circulation.",Cold extremities,general,Increase physical activity and eat foods like garlic and ginger to improve circulation.,60.0,Male,general
What are some natural ways to treat hypertension?,English,recommendation_for_hypertension,"Engage in stress-reducing activities, limit salt intake, and eat potassium-rich foods like bananas and spinach.",Headache,hypertension,Focus on a heart-healthy diet and avoid excessive caffeine intake.,50.0,Female,hypertension
What should I do if I have high blood sugar?,English,help_request_for_diabetes,"Reduce intake of sugary foods, stay hydrated, and engage in regular physical activity.",Fatigue,diabetes,Eat smaller meals more frequently and include low glycemic foods in your diet.,55.0,Male,diabetes
How do I keep my blood pressure under control?,English,recommendation_for_hypertension,"Monitor blood pressure regularly, maintain a healthy weight, and follow a low-sodium diet to help control blood pressure.",Dizziness,hypertension,Limit alcohol intake and engage in daily physical activity.,60.0,Female,hypertension
How does diabetes affect kidney function?,English,information_request_for_diabetes,"Diabetes can cause kidney damage over time, leading to diabetic nephropathy, which affects kidney function.",Fatigue,diabetes,Regular monitoring of kidney function and controlling blood sugar can help prevent damage.,55.0,Male,diabetes
How can I reduce high blood pressure at home?,English,recommendation_for_hypertension,"Take regular deep breaths, avoid salt, and consume heart-healthy foods like oats, fish, and leafy greens.",Headache,hypertension,Include magnesium-rich foods like spinach to help reduce blood pressure.,50.0,Female,hypertension
How to control blood sugar levels naturally?,English,recommendation_for_diabetes,"Regular physical activity, balanced meals with high fiber, and controlling stress can help manage blood sugar levels.",Frequent urination,diabetes,Incorporate low glycemic index foods and engage in daily exercise.,45.0,Female,diabetes
මට බර පාලනය කරන මාර්ග සම්බන්ධව උපදෙස් ලබා දේවී.,Sinhala,recommendation,වැඩි ව්‍යායාම සහ සෞඛ්‍ය සම්පන්න ආහාර වේලක් භාවිතා කිරීම සහ පෝෂණ උපදෙස් අනුව කෑම පියවර ගන්න.,Weight gain,general,"Include lean proteins, reduce sugar intake, and maintain an active lifestyle.",40.0,Male,general
